Smiles	p_value_original	p_value_trained	active_entry_original	inactive_entry_original	active_entry_trained	inactive_entry_trained	category	accuracy
O=S(=O)(N)C1=CC=C(N)C=C1	7,12E-6	1,33E-6	44.0	9.0	45.0	8.0	7	0.7866037735849059
O=C(N(C(=O)C)C(=C)C)C	0,02386	0E0	6.0	0.0	0.0	0.0	5	0.0
null	0E0	0,02319	0.0	0.0	6.0	0.0	0	0.6933333333333334
C=C(C)[As]	0,00002	0E0	30.0	4.0	0.0	0.0	5	0.0
O=C(N3CCC2(CCN(C(O)=NC1=CC=CC(F)=C1)CC2)CC3)C	0,00063	0E0	18.0	2.0	0.0	0.0	5	0.0
N#CC1=CC=CC(=C1)C	7,2E-14	1,2E-18	90.0	12.0	95.0	7.0	0	0.9160784313725483
N=C(O)C(NC)C(C)C	0,00177	0,00617	16.0	2.0	11.0	1.0	7	0.8424999999999999
C=C1C(=CC)CCN(C)(C)C1	0,00687	0,00661	8.0	0.0	8.0	0.0	7	0.90375
null	0E0	0,03319	0.0	0.0	10.0	2.0	0	0.8141666666666666
NC(CC)C(C)C	7,29E-7	2,7E-14	58.0	13.0	67.0	4.0	7	0.8745070422535215
N=C(O)C1CCCCC1(N)	3,5E-11	5,5E-19	61.0	6.0	67.0	0.0	7	0.9177611940298512
null	0E0	0,00661	0.0	0.0	8.0	0.0	0	0.8625
O=C(O)C(C(O)C)C(C)C	0,00037	0,00004	19.0	2.0	20.0	1.0	7	0.8909523809523808
N=C(N)C1=CC=CC=C1Cl	2,09E-6	1,89E-6	21.0	0.0	21.0	0.0	0	0.9600000000000005
null	0E0	0,00202	0.0	0.0	18.0	3.0	0	0.8142857142857142
N=C(NCCC(=C)C)C	2,0E-16	1,5E-16	58.0	0.0	58.0	0.0	0	0.9553448275862074
CCCC(C)C	0,01327	5,1E-70	12.0	2.0	748.0	173.0	7	0.8422801302931623
null	0E0	0,02319	0.0	0.0	6.0	0.0	0	0.7783333333333333
N(=C)C1=C(N=CNC1(=NCC))N	0,01114	0,01067	10.0	1.0	10.0	1.0	7	0.9263636363636365
O=C(N3CCC2(CCN(C1=CC=CC(=C1)C)CC2)CC3)C	0,00177	0E0	16.0	2.0	0.0	0.0	2	0.0
O=C(OCCN(C)C)C	0,00915	0E0	17.0	4.0	0.0	0.0	2	0.0
O=C(OC)C	2,13E-9	8,5E-16	89.0	21.0	98.0	12.0	7	0.8477272727272728
null	0E0	0,01238	0.0	0.0	7.0	0.0	0	0.9342857142857144
C=C(C(NC)=C(C)I)I	0,02386	0,02319	6.0	0.0	6.0	0.0	7	0.8433333333333333
O1C=CC=C1CN	2,0E-11	1,8E-13	65.0	7.0	67.0	5.0	0	0.9277777777777784
N=C(O)NC=C	0,02386	0,02319	6.0	0.0	6.0	0.0	3	0.8483333333333333
O=C(C(=C)N)N2CCC1(CCN(C(O)=NC(C=C)=CC)CC1)CC2	0,01327	0E0	12.0	2.0	0.0	0.0	5	0.0
OC=1C=CC2=C(C=1(O))C(C)(C)CC(N)C2	0,00811	0,00115	13.0	2.0	14.0	1.0	7	0.776
N1=CC=C(C=C1)N(C)C	7,12E-6	5,94E-9	44.0	9.0	48.0	5.0	7	0.8235849056603773
O=C(OC(C)C)C(C=C)=CC	0,0345	0,00054	10.0	2.0	12.0	0.0	7	0.8224999999999999
OC1=CC=CC(=C1)C(N=C)=CC	0,00368	0E0	9.0	0.0	0.0	0.0	2	0.0
N=C(N)C1=CC=CC=C1CN(C)C	6,03E-7	0E0	23.0	0.0	0.0	0.0	2	0.0
null	0E0	0,00075	0.0	0.0	20.0	3.0	0	0.7608695652173915
C=CCN(C)C	0,00123	0E0	14.0	1.0	0.0	0.0	5	0.0
N(=C)C=CS	5,03E-6	6,1E-12	47.0	10.0	54.0	3.0	7	0.8717543859649125
N=C(O)CC(N=C(O)C(CC)C(N)C)CC(C)C	2,09E-6	0E0	21.0	0.0	0.0	0.0	5	0.0
null	0E0	2,37E-9	0.0	0.0	88.0	21.0	0	0.7713761467889909
N=C(N)N(C)C	6,9E-26	1,9E-31	178.0	24.0	184.0	18.0	0	0.8949504950495039
O=C(O)CCC(C)C(C)C	0,00368	0E0	9.0	0.0	0.0	0.0	5	0.0
N(=C)C(=NC)N1CCN(C)CC1	1,68E-7	0E0	70.0	17.0	0.0	0.0	2	0.0
O=C(N3CCCC2(CN(C1=CC=CC(=C1)C)CC2)(C3))C	0,00687	0,00661	8.0	0.0	8.0	0.0	0	0.8975
O=C1C=C(OC(=C1(C=C))C)C	0,00106	0,00101	11.0	0.0	11.0	0.0	0	0.9581818181818185
C=C(C(=CN)CC(NC)CC)C	1,65E-7	1,80E-8	42.0	5.0	43.0	4.0	7	0.8676595744680856
C(=CC(C)(C)C)C	0,00001	2,49E-9	36.0	6.0	40.0	2.0	7	0.8990476190476189
OC(O)CC(O)C	0,00005	0,00004	16.0	0.0	16.0	0.0	7	0.9299999999999998
null	0E0	6,2E-14	0.0	0.0	58.0	2.0	0	0.7519999999999999
OCCN(CC)CC	0,00096	0,00002	22.0	4.0	24.0	2.0	0	0.8146153846153847
