Smiles	p_value_original	p_value_trained	active_entry_original	inactive_entry_original	active_entry_trained	inactive_entry_trained	category
OC(C)C(C=C)C	0,00215	0E0	13.0	1.0	0.0	0.0	5
N1=CC=CC(=C1)CN	2,0E-11	0E0	59.0	5.0	0.0	0.0	2
O=C(N1CCCC(C)(C)C1)C	0,01114	0E0	10.0	1.0	0.0	0.0	5
O=C1C=C(C(=O)C2=C(O)C(=CC(O)=C12)C)C	0,00198	0E0	10.0	0.0	0.0	0.0	5
O(C1=CC=CC(N)=C1)C	1,48E-9	0E0	51.0	5.0	0.0	0.0	2
N=C1NC=NC=C1(N)	2,07E-7	0E0	29.0	1.0	0.0	0.0	5
O=C(C)CC(C)(C)C	0,00004	0E0	20.0	1.0	0.0	0.0	5
O=C1C=CC(C)(C)CC1	5,24E-8	0E0	35.0	2.0	0.0	0.0	5
C(=CC(C)C)C	7,11E-8	0E0	49.0	7.0	0.0	0.0	5
OC(=NCC)C	4,48E-6	0E0	38.0	6.0	0.0	0.0	2
OC(C(C=C)=CC)(C)C	2,76E-8	0E0	56.0	9.0	0.0	0.0	5
N#CCCN(C(=O)C)C(=N)C	2,1E-17	0E0	103.0	11.0	0.0	0.0	2
OC(C)(C)C(N(C)C)CC	0,00217	0E0	18.0	3.0	0.0	0.0	5
O=C(O)C(C)C(C)C	0,0345	0E0	10.0	2.0	0.0	0.0	2
O=C2N=C(O)C=1N=C(NC=1N2C)C	0,00492	0E0	14.0	2.0	0.0	0.0	5
N=C(N)C=C(N)C	2,8E-32	0E0	155.0	8.0	0.0	0.0	2
C1=CC=C(C=C1)C(NC)C(C)(C)C	0,00001	0E0	43.0	9.0	0.0	0.0	2
OC(=NCCN)C	0,00003	0E0	29.0	4.0	0.0	0.0	2
O(C)C(CC)C(C)(C)C	5,05E-7	0E0	31.0	2.0	0.0	0.0	5
C=CC=2C1=CC=CC=C1CC=2C	0,00687	0E0	8.0	0.0	0.0	0.0	2
