Signature	Category
N(=C)C(C(=C)C)=C(N)C	2
OC(C)COC(C)(C)C	2
CC1CCC(CC1)Cl	2
N=C(O)C=2N=C(C=1N=C(CCN=C(O)C(N=C(O)C(C)C(O)C(N=C(O)C)C)C(O)C)SC=1)SC=2	2
N=C(O)C=2N=C(C=1N=C(CCN=C(O)C)SC=1)SC=2	2
ON(C1=CC=C(C=C1)C)C	2
O=S(=O)(OCC)C	2
O1C=CC2C(=C(OC12)C)C	2
OC3=CC(O)=C1C(OC2OC=CC12)=C3	2
O=C(C=1C(N)=CC=CC=1C)C	2
O=C(N(C(C)C)C(C)C)S	2
O(CC)CC1OC1	2
O=C1C(=C)CC(=O)C2=C(O)C=CC(O)=C12	2
OC=CC(C)C	2
O=P(O)(N)N(CC)CC	2
N(C)CCCNC	2
O1C2C(=CC)C(=C)C=C(C)C12	2
O=C(OC)C(C(=C)C)C(O)(C)C	2
O=C(OC)C(=C)Cl	2
OC(=NCCC)C(=C)N	2
O(C1=CC=C(N)C(=C1)C)P(OC)(OC)=S	2
O=S(=O)(NC4=CC=C(N=C1C3=CC=CC=C3(NC2=CC=CC=C12))C=C4)C	2
O=C(OCC1OC1)C	2
O=S(=O)(O)C1=CC(=CC(N)=C1(N=N))C	2
OC1C(C=C)=C(C)CC(O)C1(O)	2
OC(OC=C)C	2
C1=CC=C2C(=C1)C(=C(N2C)C)C	2
C=C2C1=CC=CC=C1C3N(C3(C2))S	2
OC(=NCC)C(C)Br	2
N=NN(C)C	2
C=1C=C(C)CN(C=1)C	2
C=CC=1C(N)=CC=CC=1C	2
C=CN(C(=C)C)CC	2
O=C1C2=C(O)C=C(O)C=C2(OC(=C)C1)	2
N=CC1=CC=C(N)C=C1	2
N1=C(NC(=C1C)C(=C)C)C(=C)C	2
N=C(O)C=2N=C(C=1N=C(CCN=C(O)C(N=C(O)C(C)C)C(O)C)SC=1)SC=2	2
O=N(=O)C1=CC(C=C)=C(C)CC1(=C)	2
C=C2C1=CC=CC=C1C3N(C)C3(C2)	2
O=C1C(=C)C(C(=O)C2=CC=CC=C12)=C(O)C	2
N=C(O)C=2N=C(C=1N=C(CCN=C(O)C(N=C(O)C(C)C(O)C(N)C)C(O)C)SC=1)SC=2	2
OC1C=CC(=C(C=C)C1(O))C	2
C=CC=1C=CC=C(C=C)C=1C	2
C(CS)Cl	2
O(C(=CC=C)C=CC)C(=CC=C)C=CC	2
O(C1=CC=C(N)C=C1)C	2
C=C(C(=CC)N(C)C)C	2
NC=1C=CC(=C(N)C=1)C	2
O=C(OCC1=CC=C(N)C=C1)C	2
O=N(=O)C1=CC=CC=C1(C(=CC)C(=C)N)	2
NC1=CC=C(C=C1)C2=CC=CC=C2	2
C=C(NNC)C	2
C=C(C)C(C1=CC=CC=C1)(C(=C)C)N(C)C	2
O=C1C(=C)COC2=CC=CC(O)=C12	2
C=C(C(NC)=C(C)C)C	2
C=C(N)C1=CC=CC(C(=C)C)=C1C	2
